Species,Official gene symbol,UI,Sensitivity (human),Sensitivity (mouse),Specificity (human),Specificity (mouse),Cell type,Germ layer,Organ,Aliases,Product description,Disease,Action
Mm Hs,GSTA1,0.012,0.917,0.0,0.027,0.008,Acinar cells,Endoderm,Pancreas,,glutathione S-transferase alpha 1,,flag
Mm Hs,LGALS2,0.032,0.917,0.014,0.035,0.031,Acinar cells,Endoderm,Pancreas,HL14,galectin 2,Y,flag
Mm Hs,PDZK1IP1,0.025,1.0,0.114,0.04,0.023,Acinar cells,Endoderm,Pancreas,"DD96,MAP17,SPAP",PDZK1 interacting protein 1,,flag
Mm Hs,RARRES2,0.03,1.0,0.0,0.075,0.0,Acinar cells,Endoderm,Pancreas,"TIG2,HP10433",retinoic acid receptor responder 2,,flag
Mm Hs,CXCL17,0.007,0.75,0.0,0.025,0.004,Acinar cells,Endoderm,Pancreas,"Dcip1,UNQ473,VCC1",C-X-C motif chemokine ligand 17,,flag
Mm Hs,UBD,0.0,,,,,Acinar cells,Endoderm,Pancreas,FAT10,ubiquitin D,,flag
Mm Hs,GSTA2,0.007,0.917,0.014,0.006,0.007,Acinar cells,Endoderm,Pancreas,GST2,glutathione S-transferase alpha 2,,flag
Mm Hs,ANPEP,0.015,0.75,0.071,0.01,0.017,Acinar cells,Endoderm,Pancreas,"gp150,CD13,PEPN","alanyl aminopeptidase, membrane",,flag
Hs,LYZ,0.008,0.0,0.0,0.041,0.0,Acinar cells,Endoderm,Pancreas,,lysozyme,Y,flag
Mm Hs,ANGPTL4,0.031,0.167,0.0,0.03,0.033,Acinar cells,Endoderm,Pancreas,"pp1158,PGAR,ARP4,HFARP,FIAF",angiopoietin like 4,Y,flag
Mm Hs,ALDOB,0.031,0.583,0.043,0.004,0.037,Acinar cells,Endoderm,Pancreas,,"aldolase, fructose-bisphosphate B",Y,flag
Mm Hs,CTRB1,0.017,1.0,0.957,0.001,0.016,Acinar cells,Endoderm,Pancreas,CTRB,chymotrypsinogen B1,,flag
Mm Hs,KLK1,0.013,0.833,0.314,0.005,0.013,Acinar cells,Endoderm,Pancreas,Klk6,kallikrein 1,Y,flag
Mm Hs,RBPJL,0.001,0.0,0.0,0.0,0.0,Acinar cells,Endoderm,Pancreas,"RBP-L,SUHL,RBPSUHL",recombination signal binding protein for immunoglobulin kappa J region like,,flag
Mm Hs,PTF1A,0.001,0.0,0.157,0.001,0.001,Acinar cells,Endoderm,Pancreas,"PTF1-p48,bHLHa29",pancreas associated transcription factor 1a,Y,flag
Mm,TRY4,0.007,,,,,Acinar cells,Endoderm,Pancreas,,trypsin 4,,flag
Mm Hs,CELA3A,0.001,0.833,0.129,0.0,0.0,Acinar cells,Endoderm,Pancreas,"ELA3,ELA3A",chymotrypsin like elastase family member 3A,,flag
Mm Hs,PRSS1,0.002,1.0,0.029,0.006,0.0,Acinar cells,Endoderm,Pancreas,TRY1,serine protease 1,Y,flag
Mm,AMY2A2,0.001,0.0,0.157,0.0,0.0,Acinar cells,Endoderm,Pancreas,,amylase 2a2,,flag
Mm Hs,SPINK1,0.029,1.0,0.0,0.035,0.0,Acinar cells,Endoderm,Pancreas,"Spink3,PCTT,PSTI,TATI","serine peptidase inhibitor, Kazal type 1",Y,flag
Mm Hs,ZG16,0.013,0.0,0.0,0.014,0.0,Acinar cells,Endoderm,Pancreas,"hZG16,JCLN1,ZG16A,JCLN",zymogen granule protein 16,,flag
Mm Hs,CEL,0.002,0.167,0.443,0.0,0.001,Acinar cells,Endoderm,Pancreas,"BSSL,MODY8",carboxyl ester lipase,Y,flag
Mm Hs,CELA2A,0.005,0.333,0.629,0.0,0.003,Acinar cells,Endoderm,Pancreas,ELA2A,chymotrypsin like elastase family member 2A,,flag
Mm,AMY2A3,0.001,0.0,0.343,0.0,0.0,Acinar cells,Endoderm,Pancreas,,amylase 2a3,,flag
Mm Hs,CPB1,0.005,0.833,0.5,0.008,0.002,Acinar cells,Endoderm,Pancreas,,carboxypeptidase B1,,flag
Mm Hs,CELA1,0.017,0.0,0.814,0.0,0.017,Acinar cells,Endoderm,Pancreas,ELA1,chymotrypsin like elastase family member 1,,flag
Mm,AMY2A5,0.002,0.0,0.414,0.0,0.001,Acinar cells,Endoderm,Pancreas,,amylase 2a5,,flag
Mm Hs,RNASE1,0.022,0.75,0.0,0.088,0.0,Acinar cells,Endoderm,Pancreas,"RAC1,RNS1","ribonuclease A family member 1, pancreatic",,flag
Mm Hs,AMY2B,0.003,0.083,0.529,0.0,0.001,Acinar cells,Endoderm,Pancreas,,"amylase, alpha 2B (pancreatic)",,flag
Mm Hs,CPA2,0.004,0.917,0.457,0.0,0.003,Acinar cells,Endoderm,Pancreas,,carboxypeptidase A2,,flag
Mm Hs,CPA1,0.006,0.833,0.586,0.0,0.004,Acinar cells,Endoderm,Pancreas,CPA,carboxypeptidase A1,,flag
Mm Hs,CELA3B,0.007,0.75,0.8,0.001,0.005,Acinar cells,Endoderm,Pancreas,"CBPP,ELA3B",chymotrypsin like elastase family member 3B,,flag
Mm Hs,WT1,0.01,0.0,0.0,0.023,0.0,Adipocyte progenitor cells,Mesoderm,Connective tissue,"WIT-2,AWT1,NPHS4,GUD",Wilms tumor 1,Y,flag
Mm Hs,SCARA5,0.007,0.0,0.0,0.012,0.0,Adipocyte progenitor cells,Mesoderm,Connective tissue,"FLJ23907,MGC45780,NET33",scavenger receptor class A member 5,,flag
Mm Hs,HOXC8,0.005,0.0,0.0,0.003,0.005,Adipocyte progenitor cells,Mesoderm,Connective tissue,HOX3A,homeobox C8,,flag
Mm Hs,TCF7L1,0.009,0.0,0.0,0.008,0.0,Adipocyte progenitor cells,Mesoderm,Connective tissue,TCF3,transcription factor 7 like 1,,flag
Mm Hs,HOXC9,0.007,0.0,0.0,0.016,0.005,Adipocyte progenitor cells,Mesoderm,Connective tissue,HOX3B,homeobox C9,,flag
Mm Hs,HOXC6,0.004,0.0,0.0,0.006,0.004,Adipocyte progenitor cells,Mesoderm,Connective tissue,HOX3C,homeobox C6,,flag
Mm Hs,HOXC4,0.002,0.0,0.0,0.0,0.003,Adipocyte progenitor cells,Mesoderm,Connective tissue,HOX3E,homeobox C4,,flag
Hs,ZNF521,0.002,0.0,0.0,0.01,0.0,Adipocyte progenitor cells,Mesoderm,Connective tissue,"EHZF,Evi3",zinc finger protein 521,,flag
Mm Hs,SULT1E1,0.002,0.0,0.0,0.006,0.0,Adipocyte progenitor cells,Mesoderm,Connective tissue,STE,sulfotransferase family 1E member 1,,flag
Mm Hs,EBF2,0.006,0.0,0.0,0.001,0.007,Adipocyte progenitor cells,Mesoderm,Connective tissue,"FLJ11500,COE2",early B cell factor 2,,flag
Mm Hs,CEBPA,0.025,0.0,0.0,0.0,0.03,Adipocyte progenitor cells,Mesoderm,Connective tissue,"C/EBP-alpha,CEBP",CCAAT enhancer binding protein alpha,Y,flag
Mm Hs,EGFR,0.014,0.0,0.0,0.022,0.013,Adipocyte progenitor cells,Mesoderm,Connective tissue,"ERBB1,ERBB",epidermal growth factor receptor,Y,flag
Mm Hs,FGF10,0.001,0.0,0.0,0.001,0.002,Adipocyte progenitor cells,Mesoderm,Connective tissue,,fibroblast growth factor 10,Y,flag
Mm Hs,GSC,0.001,0.0,0.0,0.0,0.001,Adipocyte progenitor cells,Mesoderm,Connective tissue,,goosecoid homeobox,Y,flag
Mm Hs,MMP3,0.003,0.0,0.0,0.002,0.003,Adipocyte progenitor cells,Mesoderm,Connective tissue,"STMY1,STMY",matrix metallopeptidase 3,Y,flag
Mm Hs,PPARG,0.006,0.0,0.0,0.011,0.005,Adipocyte progenitor cells,Mesoderm,Connective tissue,"PPARG1,PPARG2,NR1C3,PPARgamma",peroxisome proliferator activated receptor gamma,Y,flag
Mm Hs,TWIST2,0.012,0.0,0.0,0.007,0.0,Adipocyte progenitor cells,Mesoderm,Connective tissue,"DERMO1,Dermo-1,bHLHa39",twist family bHLH transcription factor 2,Y,flag
Mm Hs,GATA3,0.03,0.0,0.0,0.02,0.03,Adipocyte progenitor cells,Mesoderm,Connective tissue,HDR,GATA binding protein 3,Y,flag
Mm Hs,GLI1,0.0,0.0,0.0,0.0,0.0,Adipocyte progenitor cells,Mesoderm,Connective tissue,GLI,GLI family zinc finger 1,,flag
Mm Hs,SMO,0.005,0.0,0.0,0.0,0.0,Adipocyte progenitor cells,Mesoderm,Connective tissue,"FZD11,SMOH","smoothened, frizzled class receptor",Y,flag
Mm Hs,STAB1,0.018,0.0,0.0,0.003,0.0,Adipocyte progenitor cells,Mesoderm,Connective tissue,"KIAA0246,STAB-1,FEEL-1,CLEVER-1,FELE-1,FEX1,SCARH2",stabilin 1,,flag
Mm Hs,WISP2,0.005,0.0,0.0,0.007,0.0,Adipocyte progenitor cells,Mesoderm,Connective tissue,"CTGF-L,CCN5",WNT1 inducible signaling pathway protein 2,,flag
Mm Hs,NRG4,0.001,0.0,0.0,0.002,0.0,Adipocyte progenitor cells,Mesoderm,Connective tissue,,neuregulin 4,,flag
Mm Hs,ESM1,0.006,0.0,0.25,0.012,0.005,Adipocytes,Mesoderm,Connective tissue,,endothelial cell specific molecule 1,,flag
Mm Hs,MC2R,0.0,0.0,0.0,0.0,0.0,Adipocytes,Mesoderm,Connective tissue,ACTHR,melanocortin 2 receptor,Y,flag
Mm Hs,FFAR2,0.01,0.0,0.125,0.0,0.012,Adipocytes,Mesoderm,Connective tissue,"FFA2R,GPR43",free fatty acid receptor 2,,flag
Mm Hs,PIKFYVE,0.003,0.0,0.0,0.003,0.003,Adipocytes,Mesoderm,Connective tissue,"MGC40423,KIAA0981,PIKfyve,PIP5K,p235,ZFYVE29,FAB1,PIP5K3","phosphoinositide kinase, FYVE-type zinc finger containing",Y,flag
Mm Hs,CYP11B2,0.0,0.0,0.0,0.0,0.0,Adipocytes,Mesoderm,Connective tissue,"CYP11BL,P-450C18,P450aldo,ALDOS",cytochrome P450 family 11 subfamily B member 2,Y,flag
Mm Hs,TLR2,0.014,0.0,0.0,0.001,0.0,Adipocytes,Mesoderm,Connective tissue,"TIL4,CD282",toll like receptor 2,Y,flag
Mm Hs,TLR4,0.0,0.0,0.0,0.0,0.0,Adipocytes,Mesoderm,Connective tissue,"hToll,CD284,TLR-4,ARMD10",toll like receptor 4,Y,flag
Mm Hs,ADRB1,0.002,0.0,0.0,0.002,0.002,Adipocytes,Mesoderm,Connective tissue,ADRB1R,adrenoceptor beta 1,Y,flag
Mm Hs,ADRB2,0.016,0.0,0.0,0.01,0.018,Adipocytes,Mesoderm,Connective tissue,"ADRBR,B2AR,ADRB2R",adrenoceptor beta 2,Y,flag
Mm Hs,ADRB3,0.0,0.0,0.125,0.0,0.001,Adipocytes,Mesoderm,Connective tissue,,adrenoceptor beta 3,Y,flag
Mm Hs,FABP4,0.028,0.0,1.0,0.01,0.033,Adipocytes,Mesoderm,Connective tissue,"A-FABP,aP2",fatty acid binding protein 4,,flag
Mm Hs,TNFRSF9,0.003,0.0,0.0,0.003,0.0,Adipocytes,Mesoderm,Connective tissue,"CD137,4-1BB,ILA",TNF receptor superfamily member 9,,flag
Mm Hs,TBX1,0.003,0.0,0.0,0.001,0.0,Adipocytes,Mesoderm,Connective tissue,VCF,T-box 1,Y,flag
Mm Hs,TMEM26,0.002,0.0,0.0,0.0,0.0,Adipocytes,Mesoderm,Connective tissue,"MGC35010,Em:AC068892.1",transmembrane protein 26,,flag
Mm Hs,TCF21,0.014,0.0,0.0,0.006,0.0,Adipocytes,Mesoderm,Connective tissue,"POD1,bHLHa23",transcription factor 21,,flag
Mm Hs,ADIPOQ,0.004,0.0,1.0,0.0,0.004,Adipocytes,Mesoderm,Connective tissue,"ACRP30,AdipoQ,apM1,GBP28,adiponectin,ACDC","adiponectin, C1Q and collagen domain containing",Y,flag
Mm Hs,CFD,0.018,0.0,0.75,0.099,0.001,Adipocytes,Mesoderm,Connective tissue,"ADN,DF,PFD",complement factor D,Y,flag
Mm Hs,ACVR1C,0.002,0.0,0.125,0.003,0.001,Adipocytes,Mesoderm,Connective tissue,"ALK7,ACVRLK7",activin A receptor type 1C,,flag
Mm Hs,SLC2A4,0.001,0.0,0.0,0.003,0.0,Adipocytes,Mesoderm,Connective tissue,GLUT4,solute carrier family 2 member 4,Y,flag
Mm Hs,LPIN1,0.012,0.0,0.125,0.026,0.009,Adipocytes,Mesoderm,Connective tissue,KIAA0188,lipin 1,Y,flag
Mm Hs,PLIN1,0.0,0.0,0.5,0.0,0.0,Adipocytes,Mesoderm,Connective tissue,PLIN,perilipin 1,Y,flag
Mm Hs,PCK1,0.008,0.0,0.5,0.016,0.007,Adipocytes,Mesoderm,Connective tissue,PEPCK-C,phosphoenolpyruvate carboxykinase 1,Y,flag
Mm Hs,PPARG,0.006,0.0,0.375,0.011,0.004,Adipocytes,Mesoderm,Connective tissue,"PPARG1,PPARG2,NR1C3,PPARgamma",peroxisome proliferator activated receptor gamma,Y,flag
Mm Hs,RETN,0.001,0.0,0.0,0.005,0.0,Adipocytes,Mesoderm,Connective tissue,"FIZZ3,ADSF,RETN1",resistin,Y,flag
Mm Hs,MEST,0.039,0.0,0.0,0.104,0.021,Adipocytes,Mesoderm,Connective tissue,PEG1,mesoderm specific transcript,,flag
Mm Hs,SLC36A2,0.003,0.0,0.0,0.0,0.0,Adipocytes,Mesoderm,Connective tissue,"PAT2,tramdorin,TRAMD1",solute carrier family 36 member 2,Y,flag
Mm Hs,P2RX5,0.0,0.0,0.0,0.002,0.0,Adipocytes,Mesoderm,Connective tissue,P2X5,purinergic receptor P2X 5,,flag
Mm Hs,LEP,0.0,0.0,0.0,0.0,0.0,Adipocytes,Mesoderm,Connective tissue,OBS,leptin,Y,flag
Mm Hs,UCP1,0.0,0.0,0.0,0.0,0.0,Adipocytes,Mesoderm,Connective tissue,"SLC25A7,UCP",uncoupling protein 1,Y,flag
Mm Hs,CIDEA,0.004,0.0,0.5,0.0,0.005,Adipocytes,Mesoderm,Connective tissue,CIDE-A,cell death-inducing DFFA-like effector a,,flag
Mm Hs,PRDM16,0.001,0.0,0.0,0.001,0.001,Adipocytes,Mesoderm,Connective tissue,"MEL1,PFM13,KIAA1675,MGC166915,KMT8F",PR/SET domain 16,Y,flag
Mm Hs,LHX8,0.001,0.0,0.0,0.0,0.002,Adipocytes,Mesoderm,Connective tissue,Lhx7,LIM homeobox 8,,flag
Mm Hs,EPSTI1,0.041,0.0,0.0,0.029,0.043,Adipocytes,Mesoderm,Connective tissue,"BRESI1,MGC29634",epithelial stromal interaction 1,,flag
Mm Hs,ADM2,0.0,0.143,0.0,0.0,0.0,Adipocytes,Mesoderm,Connective tissue,"AM2,FLJ21135",adrenomedullin 2,,flag
Mm Hs,STAT6,0.01,0.714,0.0,0.007,0.0,Adipocytes,Mesoderm,Connective tissue,"D12S1644,IL-4-STAT",signal transducer and activator of transcription 6,,flag
Mm Hs,TFE3,0.005,0.714,0.0,0.003,0.0,Adipocytes,Mesoderm,Connective tissue,"TFEA,bHLHe33",transcription factor binding to IGHM enhancer 3,Y,flag
Mm Hs,CPPED1,0.008,0.429,0.125,0.011,0.007,Adipocytes,Mesoderm,Connective tissue,"CSTP1,FLJ11151",calcineurin like phosphoesterase domain containing 1,,flag
Mm Hs,APPL2,0.011,0.714,0.0,0.004,0.013,Adipocytes,Mesoderm,Connective tissue,"FLJ10659,DIP13B","adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2",,flag
Mm Hs,APOL6,0.003,0.714,0.0,0.017,0.0,Adipocytes,Mesoderm,Connective tissue,"APOL-VI,APOLVI",apolipoprotein L6,,flag
Mm Hs,PXMP2,0.007,0.571,0.125,0.023,0.002,Adipocytes,Mesoderm,Connective tissue,PMP22,peroxisomal membrane protein 2,,flag
Hs,CAVIN1,0.023,1.0,0.0,0.129,0.0,Adipocytes,Mesoderm,Connective tissue,"cavin-1,CGL4,PTRF",caveolae associated protein 1,,flag
Mm Hs,AGT,0.02,0.0,0.375,0.016,0.021,Adipocytes,Mesoderm,Connective tissue,SERPINA8,angiotensinogen,Y,flag
Mm Hs,SLC1A5,0.038,0.0,0.0,0.046,0.0,Adipocytes,Mesoderm,Connective tissue,"AAAT,ASCT2,RDRC,M7V1",solute carrier family 1 member 5,,flag
Mm Hs,ACSL1,0.022,0.0,0.375,0.019,0.023,Adipocytes,Mesoderm,Connective tissue,"LACS,ACS1,LACS1,FACL1,FACL2",acyl-CoA synthetase long chain family member 1,,flag
Mm,CAR3,0.007,0.0,1.0,0.0,0.008,Adipocytes,Mesoderm,Connective tissue,,carbonic anhydrase 3,,flag
Mm Hs,BCAT2,0.021,0.0,0.25,0.014,0.02,Adipocytes,Mesoderm,Connective tissue,"BCAM,BCT2",branched chain amino acid transaminase 2,,flag
Mm Hs,PNPLA2,0.02,0.0,0.875,0.016,0.02,Adipocytes,Mesoderm,Connective tissue,"desnutrin,TTS-2.2,ATGL,FP17548,iPLA2zeta",patatin like phospholipase domain containing 2,Y,flag
Mm Hs,CIDEC,0.002,0.0,0.75,0.0,0.002,Adipocytes,Mesoderm,Connective tissue,"CIDE-3,FLJ20871,Fsp27",cell death inducing DFFA like effector c,Y,flag
Mm Hs,CDO1,0.036,0.0,0.5,0.012,0.042,Adipocytes,Mesoderm,Connective tissue,,cysteine dioxygenase type 1,,flag
Mm Hs,APOC1,0.047,0.0,0.75,0.078,0.036,Adipocytes,Mesoderm,Connective tissue,,apolipoprotein C1,,flag
Mm Hs,AQP5,0.018,0.0,0.0,0.042,0.014,Adipocytes,Mesoderm,Connective tissue,,aquaporin 5,Y,flag
Mm Hs,TSPO,0.283,1.0,0.0,0.34,0.0,Adipocytes,Mesoderm,Connective tissue,"PBR,MBR,PKBS,mDRC,DBI,pk18,BZRP",translocator protein,,flag
Mm Hs,AZGP1,0.008,0.0,0.0,0.038,0.002,Adipocytes,Mesoderm,Connective tissue,"ZA2G,ZAG","alpha-2-glycoprotein 1, zinc-binding",,flag
Mm Hs,LRP1,0.071,0.714,0.375,0.034,0.077,Adipocytes,Mesoderm,Connective tissue,"CD91,LRP1A,APOER,A2MR,IGFBP3R1",LDL receptor related protein 1,Y,flag
Mm Hs,PDE3B,0.01,0.0,0.125,0.019,0.009,Adipocytes,Mesoderm,Connective tissue,HcGIP1,phosphodiesterase 3B,,flag
Mm Hs,LGALS12,0.0,0.0,0.0,0.0,0.0,Adipocytes,Mesoderm,Connective tissue,,galectin 12,,flag
Mm Hs,SERPINF1,0.057,0.143,0.0,0.106,0.0,Adipocytes,Mesoderm,Connective tissue,"EPC-1,PIG35,PEDF",serpin family F member 1,Y,flag
Mm Hs,CPT1B,0.001,0.0,0.0,0.005,0.0,Adipocytes,Mesoderm,Connective tissue,"M-CPT1,CPT1-M",carnitine palmitoyltransferase 1B,,flag
Mm Hs,ELOVL3,0.001,0.0,0.0,0.0,0.001,Adipocytes,Mesoderm,Connective tissue,CIG-30,ELOVL fatty acid elongase 3,,flag
Mm Hs,PPARGC1A,0.01,0.0,0.0,0.004,0.012,Adipocytes,Mesoderm,Connective tissue,"PGC1,PGC1A,PGC-1alpha,PPARGC1",PPARG coactivator 1 alpha,,flag
Mm Hs,MPZL1,0.097,0.0,0.25,0.051,0.107,Adipocytes,Mesoderm,Connective tissue,"PZR,FLJ21047",myelin protein zero like 1,,flag
Mm Hs,CITED1,0.023,0.0,0.0,0.016,0.025,Adipocytes,Mesoderm,Connective tissue,MSG1,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1,,flag
Mm Hs,DPT,0.021,0.0,0.0,0.006,0.024,Adipocytes,Mesoderm,Connective tissue,,dermatopontin,,flag
Mm Hs,HOXC9,0.007,0.714,0.0,0.014,0.005,Adipocytes,Mesoderm,Connective tissue,HOX3B,homeobox C9,,flag
Hs,MT2A,0.061,1.0,0.0,0.326,0.0,Adipocytes,Mesoderm,Connective tissue,MT2,metallothionein 2A,,flag
Mm Hs,TIMP1,0.097,1.0,0.0,0.408,0.0,Adipocytes,Mesoderm,Connective tissue,"TIMP,CLGI",TIMP metallopeptidase inhibitor 1,,flag
Mm Hs,METRN,0.015,1.0,0.0,0.053,0.0,Adipocytes,Mesoderm,Connective tissue,"MGC2601,C16orf23","meteorin, glial cell differentiation regulator",,flag
Mm Hs,METRNL,0.037,1.0,0.0,0.015,0.042,Adipocytes,Mesoderm,Connective tissue,,"meteorin like, glial cell differentiation regulator",,flag
Mm Hs,MYO1C,0.026,1.0,0.125,0.034,0.022,Adipocytes,Mesoderm,Connective tissue,myr2,myosin IC,,flag
Mm Hs,NQO1,0.024,1.0,0.0,0.073,0.008,Adipocytes,Mesoderm,Connective tissue,"DHQU,QR1,NMOR1,DIA4",NAD(P)H quinone dehydrogenase 1,,flag
Mm Hs,SYAP1,0.051,1.0,0.0,0.109,0.0,Adipocytes,Mesoderm,Connective tissue,"FLJ14495,PRO3113",synapse associated protein 1,,flag
Mm Hs,CRNDE,0.027,1.0,0.0,0.109,0.002,Adipocytes,Mesoderm,Connective tissue,"LOC643911,LINC00180,CRNDEP",colorectal neoplasia differentially expressed,,flag
Hs,ZNF423,0.004,0.0,0.0,0.024,0.0,Adipocytes,Mesoderm,Connective tissue,"KIAA0760,hOAZ,Ebfaz,Zfp104,NPHP14,JBTS19",zinc finger protein 423,Y,flag
Mm Hs,ZBTB16,0.007,0.0,0.0,0.012,0.0,Adipocytes,Mesoderm,Connective tissue,"PLZF,ZNF145",zinc finger and BTB domain containing 16,Y,flag
Mm Hs,GULP1,0.01,0.0,0.0,0.03,0.005,Adipocytes,Mesoderm,Connective tissue,"CED6,CED-6,GULP","GULP, engulfment adaptor PTB domain containing 1",,flag
Mm Hs,FZD4,0.007,0.0,0.25,0.001,0.008,Adipocytes,Mesoderm,Connective tissue,CD344,frizzled class receptor 4,Y,flag
Mm Hs,TRIP10,0.007,0.0,0.0,0.005,0.0,Adipocytes,Mesoderm,Connective tissue,"HSTP,CIP4,STOT",thyroid hormone receptor interactor 10,,flag
Mm Hs,FGF7,0.005,0.0,0.25,0.011,0.004,Adipocytes,Mesoderm,Connective tissue,KGF,fibroblast growth factor 7,,flag
Mm Hs,MAOB,0.009,0.0,0.125,0.01,0.009,Adipocytes,Mesoderm,Connective tissue,,monoamine oxidase B,,flag
Mm Hs,SOCS1,0.012,0.0,0.0,0.02,0.0,Adipocytes,Mesoderm,Connective tissue,"SOCS-1,SSI-1,JAB,TIP3,Cish1",suppressor of cytokine signaling 1,,flag
Mm Hs,ARNT,0.005,0.0,0.0,0.001,0.006,Adipocytes,Mesoderm,Connective tissue,"HIF-1beta,bHLHe2",aryl hydrocarbon receptor nuclear translocator,,flag
Mm Hs,SULT1A1,0.012,0.0,0.0,0.02,0.0,Adipocytes,Mesoderm,Connective tissue,"P-PST,STP1",sulfotransferase family 1A member 1,,flag
Mm Hs,NNMT,0.017,0.0,0.375,0.061,0.008,Adipocytes,Mesoderm,Connective tissue,,nicotinamide N-methyltransferase,,flag
Mm Hs,AOC3,0.004,0.143,0.25,0.003,0.004,Adipocytes,Mesoderm,Connective tissue,"VAP1,HPAO,VAP-1","amine oxidase, copper containing 3",,flag
Mm Hs,H6PD,0.005,0.0,0.375,0.001,0.006,Adipocytes,Mesoderm,Connective tissue,,hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase,Y,flag
Mm Hs,CYP27A1,0.006,0.0,0.0,0.015,0.004,Adipocytes,Mesoderm,Connective tissue,"CTX,CYP27",cytochrome P450 family 27 subfamily A member 1,Y,flag
Mm Hs,EBF2,0.006,0.0,0.0,0.001,0.007,Adipocytes,Mesoderm,Connective tissue,"FLJ11500,COE2",early B cell factor 2,,flag
Mm Hs,MNDA,0.019,0.0,0.0,0.046,0.013,Adipocytes,Mesoderm,Connective tissue,PYHIN3,myeloid cell nuclear differentiation antigen,,flag
Mm Hs,HSD11B1,0.022,0.0,0.125,0.01,0.024,Adipocytes,Mesoderm,Connective tissue,"SDR26C1,HSD11B,HSD11",hydroxysteroid 11-beta dehydrogenase 1,Y,flag
Mm Hs,AR,0.013,0.0,0.25,0.002,0.016,Adipocytes,Mesoderm,Connective tissue,"AIS,NR3C4,SMAX1,HUMARA,DHTR,SBMA",androgen receptor,Y,flag
Mm Hs,GDF10,0.005,0.0,0.0,0.0,0.007,Adipocytes,Mesoderm,Connective tissue,BMP-3b,growth differentiation factor 10,,flag
